patient_idx,X0.0,X0.1,X0.2,X0.3,X0.4,X0.5,X0.6,X0.7,X0.8,X0.9,X1.1,X1.10,X1.2,X1.3,X1.4,X1.5,X1.6,X1.7,X1.8,X1.9,X10.10,X10.11,X10.12,X10.13,X10.14,X10.15,X11.11,X11.12,X11.13,X11.14,X11.15,X12.12,X12.13,X12.14,X12.15,X13.13,X13.14,X13.15,X13.16,X14.14,X14.15,X14.16,X15.15,X15.16,X16.16,X16.17,X17.17,X17.18,X18.18,X2.10,X2.11,X2.13,X2.2,X2.3,X2.4,X2.5,X2.6,X2.7,X2.8,X2.9,X3.10,X3.11,X3.12,X3.3,X3.4,X3.5,X3.6,X3.7,X3.8,X3.9,X4.10,X4.11,X4.12,X4.13,X4.4,X4.5,X4.6,X4.7,X4.8,X4.9,X5.10,X5.11,X5.12,X5.13,X5.5,X5.6,X5.7,X5.8,X5.9,X6.10,X6.11,X6.12,X6.13,X6.6,X6.7,X6.8,X6.9,X7.10,X7.11,X7.12,X7.13,X7.14,X7.7,X7.8,X7.9,X8.10,X8.11,X8.12,X8.13,X8.14,X8.8,X8.9,X9.10,X9.11,X9.12,X9.13,X9.14,X9.9,label
292,1525,49,0,0,0,0,0,0,0,0,1733,0,44,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1846,43,0,0,0,0,0,0,0,0,0,1958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
293,753,13,1,0,0,0,0,0,0,0,216,0,10,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,207,13,0,2,0,0,0,0,0,0,0,469,25,2,0,0,0,0,0,0,0,0,1069,35,0,0,0,0,0,0,0,0,4379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
294,793,18,21,12,12,8,2,1,0,0,688,0,10,12,11,21,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,678,11,8,16,10,6,1,0,0,0,0,603,11,13,8,5,2,0,0,0,0,0,900,12,8,7,11,0,0,0,0,0,1117,13,9,13,0,0,0,0,0,833,8,14,0,0,0,0,0,0,542,19,0,0,0,0,0,0,700,0,0,0,0,0,0,0,0
295,507,4,2,0,0,0,0,0,0,0,164,0,8,0,0,0,0,0,0,0,2807,62,0,0,0,0,1199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139,12,0,0,0,0,0,0,0,0,0,173,5,0,0,0,0,0,0,0,0,0,86,3,0,0,0,0,0,0,0,0,18,0,1,0,0,0,0,0,0,48,4,0,0,0,0,0,0,0,123,9,0,0,0,0,0,0,314,23,59,0,0,0,0,1429,0
297,5990,25,0,0,0,0,0,0,0,0,1184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
298,0,0,0,0,0,0,0,0,0,0,695,0,23,0,0,0,0,0,0,0,246,13,1,0,0,0,180,6,1,0,0,201,10,1,0,647,35,0,0,1525,14,0,103,0,0,0,0,0,0,0,0,0,1447,28,0,0,0,0,0,0,0,0,0,742,28,0,0,0,0,0,0,0,0,0,430,12,0,0,0,0,0,0,0,0,140,6,2,0,0,0,0,0,0,102,10,0,0,0,0,0,0,0,139,9,1,2,0,0,0,0,188,13,12,0,0,0,0,187,0
299,920,33,6,1,0,0,0,0,0,0,1062,0,47,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1123,62,19,0,0,0,0,0,0,0,0,1312,76,11,0,0,0,0,0,0,0,0,1532,60,0,0,0,0,0,0,0,0,919,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300,347,4,1,1,0,0,0,0,0,0,75,0,4,1,0,1,0,0,0,0,915,35,0,0,0,0,563,15,0,0,0,322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,4,2,1,2,0,0,0,0,0,0,74,0,3,1,2,0,0,0,0,0,0,76,1,3,1,0,1,0,0,0,0,167,9,8,1,1,0,0,0,0,803,34,3,2,1,0,0,0,0,1337,54,6,4,0,0,0,0,1067,64,50,4,1,0,0,1035,0
301,1686,104,21,3,0,0,0,0,0,0,1864,0,80,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1558,83,0,0,0,0,0,0,0,0,0,1781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
302,1853,54,0,0,0,0,0,0,0,0,1328,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,259,12,1,0,0,0,0,0,0,0,0,424,20,0,0,0,0,0,0,0,0,0,1373,52,0,0,0,0,0,0,0,0,1814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
