DayOfWeek, HourOfDay, PeakProduction, PeakConsumptionAG, PeakConsumptionSO, PeakConsumptionSG, PeakConsumptionGE, PeakConsumptionZH, EndUserConsumption
1, 0, 14.465790868211513, 11.610522146916868, 10.893580582707655, 11.253794795594418, 12.12360895213424, 12.309020429891294, 14.007539323650407
1, 1, 14.258380263778257, 11.51785428833948, 10.934034896203165, 11.149309389877683, 12.331090314668083, 12.208037643656187, 13.966547056902787
1, 2, 14.111602611678297, 11.448449000573765, 10.912426305631028, 11.280363193947602, 12.34514216997849, 12.159999073081833, 13.958166230330917
1, 3, 14.080408100203133, 11.412385080459533, 10.86375019273905, 11.548165506135723, 12.332478319164291, 12.213352110815029, 13.949160999627178
1, 4, 14.081703447729556, 11.404884783095737, 10.793646750569096, 11.538442757906072, 12.315814822175573, 12.172933892504787, 13.908793753004131
1, 5, 14.06204369417493, 11.39958204835472, 10.790126029602183, 11.556243721713818, 12.32617762339112, 12.041331572428492, 13.974114888407334
1, 6, 14.090241134962772, 11.543517839687787, 10.860572758551855, 11.662281829842708, 12.370908247718317, 12.125275492917945, 14.14058029099684
1, 7, 14.302899926207736, 11.72383089908264, 10.775469760671188, 11.696059288452926, 12.105995564584433, 12.32685141615503, 14.274736228748827
1, 8, 14.629079155866856, 11.817008857413386, 11.02865345276863, 11.57371337886555, 12.207811502841142, 12.468819271503571, 14.338393675114713
1, 9, 14.698649206260253, 11.870010889650214, 11.068926570520528, 11.631638123504448, 12.294917190822924, 12.55180969520548, 14.363741768537981
1, 10, 14.69798411809011, 11.927876631157131, 11.117002956089138, 11.650309038658817, 12.33170051871565, 12.586499120356377, 14.384965288371191
1, 11, 14.658045954085798, 11.948899047216146, 11.080031645565139, 11.679357765134704, 12.361068174086505, 12.620266272376382, 14.43068895108231
1, 12, 14.533247334589058, 11.997044532271614, 11.196351451075806, 11.725293125966813, 12.398045020506071, 12.653307180802512, 14.432956165185447
1, 13, 14.49073365867239, 11.998413828255039, 11.16450820375638, 11.726616184314176, 12.410230006412906, 12.664728879670282, 14.38095274343282
1, 14, 14.472180224836428, 11.944361197931375, 11.130704525842324, 11.65843744242348, 12.36585511558567, 12.620429673086566, 14.382445138649553
1, 15, 14.455665562907456, 11.948623335859768, 11.167043410552342, 11.663634952395013, 12.36631302259787, 12.610910847173537, 14.361009511768394
1, 16, 14.394034284005206, 11.947825445310833, 11.166945072761953, 11.646291746464659, 12.339002462869564, 12.590049036090551, 14.351156614053785
1, 17, 14.397850766703465, 11.931208669147406, 11.11325327546243, 11.640740822397861, 12.337589060700452, 12.580601635198818, 14.313446440395817
1, 18, 14.62701403531859, 11.888048149152226, 11.075714068867159, 11.612505383724702, 12.313019025040925, 12.551963699782082, 14.307235693480763
1, 19, 14.79310845188276, 11.878483007562691, 11.068692672675663, 11.568645569160811, 12.33979708139565, 12.533326797283536, 14.298335821996107
1, 20, 14.838307651100047, 11.86414672658117, 11.020695384057884, 11.544090254593305, 12.350702321244635, 12.528223704011308, 14.25596687374622
1, 21, 14.825741097523279, 11.861547182554565, 11.012141834522941, 11.506635878926984, 12.287292931893381, 12.485755821940726, 14.232415200382778
1, 22, 14.769304523938166, 11.867845532012824, 11.075986376937964, 11.504252319748156, 12.223273621857638, 12.453623215485953, 14.222590637304105
1, 23, 14.775545001053132, 11.862071470447642, 11.041108817199198, 11.525507174272805, 12.204756800185283, 12.431088554887555, 14.160989518429648
2, 0, 14.718919302963856, 11.799289238848166, 11.034277831734727, 11.463870512047349, 12.144360760357094, 12.370087095180002, 14.08802132749163
2, 1, 14.50345165919561, 11.731257780830573, 10.959054769839849, 11.385719473888807, 12.016553685458312, 12.286587655497573, 14.050326894073606
2, 2, 14.1836519835116, 11.794798218456853, 10.965273931551948, 11.318411840451551, 11.895693014709888, 12.224174739503525, 14.042688026084734
2, 3, 14.165379742672988, 11.7174808660923, 10.885903645850556, 11.318725164834389, 11.840396396841939, 12.277351587964585, 14.005932188736747
2, 4, 14.146291372698053, 11.649322805589664, 10.884430661566013, 11.282905223326512, 11.810747832904022, 12.23221413482086, 13.952000022053264
2, 5, 14.140047455957312, 11.579057668645902, 10.807592397161988, 11.211943291658425, 11.826257469684425, 12.085643866103384, 13.992357180453116
